Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
900,0.0020,0.0100,0.0030,0.0120,0.0030,0.0010,-0.0060,-0.0020,0.0210,-0.0120,-0.0090,-0.0160
901,315.1760,-451.5570,3003.8450,4136.4630,6122.2690,6075.7380,5642.9560,7433.2320,11894.6280,13821.0460,17449.9120,16557.8190
902,-315.1740,451.5670,-3003.8420,-4136.4510,-6122.2660,-6075.7370,-5642.9620,-7433.2340,-11894.6070,-13821.0580,-17449.9210,-16557.8350
941,-439.8220,-530.6620,-747.3170,-785.5010,-4872.2990,-4300.9380,-5735.0170,-3562.2100,2563.1360,-3060.6510,-3351.2500,-5559.1100
934,124.6480,982.2290,-2256.5250,-3350.9500,-1249.9670,-1774.7990,92.0550,-3871.0240,-14457.7430,-10760.4070,-14098.6710,-10998.7250
948,-347.6160,315.2530,-2456.0280,-4451.7320,-5043.0050,-6210.1320,-5438.2850,-7194.2740,-11068.4080,-13535.4700,-15316.3890,-15107.2310
947,-79.8740,-140.4020,-183.5930,-276.0450,-641.9480,-586.8220,-820.5160,-1175.7730,398.4700,-1197.3190,-1976.0290,-1986.8400
903,-562.5440,-754.8860,-1242.2150,-985.6090,-1914.7580,-1437.8390,-1312.0510,-2182.3870,-1263.9160,-2832.2970,-3111.7080,-3141.5620
910,-116.9940,-131.5490,-24.0530,-135.6320,-450.9860,-621.4380,-503.0740,204.0910,-1771.7510,636.2930,-1263.1100,-1824.8640
108,-69.9470,-70.0480,-84.9890,-99.9210,-260.2370,-55.3440,97.4650,-2.8690,-250.0000,-400.0000,200.0000,370.0000
174,0.0000,-6.1160,-8.4910,-5.5000,-5.5000,10.0000,-4.5000,-4.5000,-3.0000,-6.0000,-10.0000,-10.0000
262,1.0000,5.0000,18.0000,25.0000,35.0000,77.0000,10.0000,90.0000,-15.0000,30.0000,0.0000,0.0000
232,0.1750,2.2120,6.3560,2.9100,7.7730,53.2310,49.2000,-3.8000,-358.6610,-8.8870,229.3760,55.0000
231,-20.0000,-20.0000,-20.0000,-42.1800,-59.6000,-2043.1200,598.4000,780.4300,768.2600,-276.9100,-340.4600,-300.0000
404,0.0000,0.0000,-20.0000,-19.5350,-17.9150,-2.9300,3.8050,5.0230,221.5690,-21.3860,25.1440,-189.3300
450,0.0000,0.0000,0.0000,-8.0000,-19.0000,-30.0000,-8.0000,-8.0000,-7.0000,-6.0000,-5.0000,-5.0000
454,-9.6950,-3.3470,-3.1250,-5.9620,60.7010,21.9050,-30.0090,846.0790,-897.6290,-106.1430,-20.0000,-20.0000
480,4.4290,-6.0300,-30.8450,-29.1310,-20.4360,-20.5790,-21.5910,-35.9270,-5.5740,-8.8160,0.0000,0.0000
175,2.6190,2.4590,2.3140,0.4540,0.4960,-0.9870,3.7940,6.0550,13.2460,5.8400,0.6220,-0.3030
508,-23.5000,-23.5000,-23.5000,-23.5000,-23.5000,87.3730,-373.3660,-1300.0000,650.0000,75.0000,-20.0000,-20.0000
638,2.7690,-4.0060,-2.6420,12.2230,-23.5320,-17.4700,4.0210,-0.5570,11.4830,12.2100,2.2140,0.0000
646,0.0000,0.0000,-0.1600,0.0160,-0.0270,-0.0150,-109.8700,15.3270,-1512.7900,1815.9950,5.9310,15.1090
706,0.0000,-1.0400,-1.0460,1.4890,-0.0060,1587.5650,-832.0450,-632.2860,-893.3650,-100.0040,-200.0000,-300.0000
800,0.0000,0.0000,125.2000,53.3300,-240.5300,-166.6600,-115.3400,233.3660,119.9950,-45.7370,-5.0000,-135.0000
834,0.0000,0.0000,27.0000,36.0250,118.9900,-22.2500,37.1800,68.2080,591.2880,-205.8750,-345.0000,-300.0000
894,0.0000,0.0000,2.5000,-4.1800,27.1220,3.5830,48.1030,28.5830,-11.2010,83.4830,-81.7130,-85.0000
716,-3.0000,-5.0000,-10.0000,-28.0000,-30.3600,-101.5150,141.5200,120.5050,-191.8040,-200.0000,-700.0000,-900.0000
911,-9.1600,-5.9960,-14.5880,16.0480,-164.4240,-21.0250,-171.4590,-57.3400,1412.6600,-1481.9650,106.3390,37.4060
24,0.0000,-75.0000,-135.0000,-201.1550,-88.4550,13.9550,234.1490,-150.2320,142.7630,-126.3110,172.1940,82.0050
120,0.0000,0.0000,0.0000,4.0000,11.0000,58.9950,-49.5750,24.7530,-5.2890,-0.2490,-12.1210,-19.0000
140,0.0000,0.0000,11.9300,13.1450,-20.0750,-1.0000,40.1650,-40.9820,37.3920,11.2930,-45.0000,5.0000
148,0.0000,-2.5000,-5.0000,-40.9500,-49.0500,-175.5000,-131.2450,1.4180,-10.3740,69.4440,218.9660,-75.0000
178,0.0000,0.0000,0.0000,0.5000,6.9450,-7.4080,2.0970,1.1450,15.5310,35.3000,-13.2570,49.8720
