Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
901,0.0750,-0.1020,0.6400,0.8400,1.1930,1.1420,1.0290,1.3170,2.0560,2.3440,2.9090,2.7070
902,-0.0350,0.0450,-0.2670,-0.3270,-0.4280,-0.3800,-0.3170,-0.3760,-0.5460,-0.5830,-0.6820,-0.6050
941,-0.4250,-0.4600,-0.5770,-0.5350,-2.9530,-2.3200,-2.7280,-1.4880,0.9360,-0.9820,-0.9530,-1.4090
934,0.0150,0.1100,-0.2270,-0.3000,-0.0990,-0.1250,0.0060,-0.2230,-0.7590,-0.5220,-0.6390,-0.4690
948,-0.0570,0.0460,-0.3170,-0.5090,-0.5110,-0.5570,-0.4320,-0.5080,-0.7020,-0.7790,-0.8070,-0.7330
947,-0.0810,-0.1290,-0.1490,-0.1980,-0.4050,-0.3220,-0.3910,-0.4880,0.1440,-0.3800,-0.5540,-0.4920
903,-0.4640,-0.5570,-0.8140,-0.5700,-0.9710,-0.6370,-0.5060,-0.7330,-0.3730,-0.7390,-0.7230,-0.6500
910,-0.3410,-0.3410,-0.0550,-0.2700,-0.7780,-0.9290,-0.6500,0.2280,-1.7200,0.5400,-0.9400,-1.1970
108,-5.4400,-4.9790,-5.5250,-5.9420,-14.4700,-2.8340,4.3410,-0.1100,-8.5550,-12.8400,5.8710,9.4660
174,0.0000,-6.6430,-8.3830,-4.8870,-4.3260,6.6740,-2.5190,-2.1850,-1.2870,-2.2710,-3.3180,-2.9030
262,3.0260,12.8990,35.7170,35.9290,36.3080,54.6010,5.3810,37.2860,-5.0470,8.8330,0.0000,0.0000
232,0.0290,0.3290,0.8360,0.3360,0.7850,4.6450,3.7310,-0.2550,-22.5190,-0.5170,11.2530,2.2590
231,-0.2070,-0.1870,-0.1670,-0.3100,-0.3850,-11.9510,3.1290,3.4910,2.9160,-0.9030,-0.9740,-0.7630
404,0.0000,0.0000,-0.4540,-0.3760,-0.2900,-0.0390,0.0420,0.0470,1.7420,-0.1460,0.1500,-0.9950
450,0.0000,0.0000,0.0000,-0.2600,-0.5410,-0.7450,-0.1740,-0.1520,-0.1150,-0.0840,-0.0600,-0.0520
454,-0.6410,-0.2000,-0.1670,-0.2800,2.4690,0.7590,-0.8890,20.3270,-18.6380,-2.0110,-0.3330,-0.2890
480,1.6660,-1.9620,-8.7350,-7.3750,-4.7540,-4.4340,-4.3650,-6.9290,-1.0150,-1.5110,0.0000,0.0000
175,30.6560,22.8280,16.9800,2.7020,2.4190,-3.9370,12.0510,14.8290,24.7170,8.6290,0.7690,-0.3200
