Country code;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;2100
900;2532229.2370;2580959.8110;2628448.1690;2675766.1940;2723726.3670;2772881.6770;2823513.0990;2875642.1470;2929068.7600;2983434.6760;3038412.7660;3093909.4710;3150241.6300;3208212.3660;3268896.1740;3333007.0490;3400823.0170;3471955.1330;3545612.6560;3620652.0650;3696186.3060;3772048.3860;3848319.4630;3924667.6490;4000764.1300;4076419.2070;4151409.5300;4225863.8400;4300401.6890;4375899.1250;4453007.4780;4531799.2550;4612119.8200;4694097.2710;4777827.8320;4863289.9350;4950590.7040;5039478.4110;5129112.5730;5218374.5080;5306425.1540;5392938.7410;5478009.4890;5561743.9420;5644416.0760;5726239.3150;5807211.8310;5887259.6650;5966464.7360;6044931.3580;6122770.2200;6200002.7580;6276721.8360;6353195.5880;6429757.6310;6506649.1750;6583958.5680;6661637.4600;6739610.2890;6817737.1230;6895889.0180;6974036.3750;7052135.3050;7130013.7420;7207459.6990;7284295.6050;7360430.3650;7435809.9020;7510341.2730;7583937.9770;7656527.9840;7728045.5470;7798450.4330;7867733.9810;7935907.6750;8002978.4340;8068924.9300;8133725.4790;8197389.9280;8259937.0210;8321379.6100;8381712.7630;8440926.4840;8499022.4990;8556003.2620;8611867.2420;8666610.4910;8720221.1580;8772679.3480;8823960.0100;8874041.1600;8922914.9130;8970572.9220;9016992.7070;9062148.5560;9106021.8790;9148607.6680;9189908.7170;9229925.7040;9268662.8220;9306127.9860;9342330.5710;9377285.4720;9411015.2390;9443547.5270;9474910.8090;9505127.6360;9534224.1550;9562238.4770;9589213.4500;9615189.3330;9640194.7180;9664258.1960;9687419.8190;9709722.0850;9731202.3670;9751891.4570;9771811.5760;9790979.9160;9809408.9100;9827112.7190;9844115.1620;9860439.6680;9876099.1940;9891104.1450;9905468.6410;9919212.4440;9932361.5740;9944944.6200;9956993.4040;9968538.3160;9979599.0630;9990198.6030;10000374.2250;10010167.4190;10019612.0030;10028730.3630;10037533.1880;10046026.9930;10054212.2050;10062090.3380;10069666.4120;10076948.1290;10083943.8380;10090660.2320;10097100.2620;10103262.3430;10109140.0210;10114721.6860;10119990.8770;10124926.1960
901;811186.8030;820861.1710;830924.0140;841203.4290;851568.7090;861930.3180;872242.0230;882498.7480;892730.4030;902991.4740;913329.8400;923753.5660;934201.8080;944532.3430;954556.8890;964144.9680;973228.9970;981855.2700;990147.9470;998292.3460;1006421.2340;1014577.9320;1022716.1700;1030771.9780;1038644.8840;1046264.4350;1053621.7040;1060751.7020;1067680.9150;1074450.2280;1081094.3520;1087604.2740;1093982.3680;1100287.4980;1106594.8870;1112950.5170;1119383.3640;1125857.4170;1132272.6240;1138489.1680;1144404.0300;1150002.5130;1155310.7250;1160319.4160;1165028.3900;1169451.4670;1173576.5830;1177439.5440;1181163.9530;1184912.8190;1188808.9090;1192884.7650;1197125.4090;1201543.7200;1206138.6920;1210897.4870;1215843.2010;1220951.1590;1226098.7740;1231121.7160;1235899.8650;1240379.8120;1244584.5880;1248564.8430;1252406.7710;1256171.7020;1259867.5260;1263464.7780;1266944.2910;1270276.3570;1273439.0710;1276429.8300;1279255.5000;1281915.0030;1284408.9760;1286739.3540;1288907.4780;1290917.1890;1292776.8970;1294497.4880;1296089.2830;1297557.2130;1298907.7540;1300154.8360;1301314.7550;1302400.6510;1303420.3670;1304377.0970;1305273.2400;1306109.0950;1306885.2930;1307603.3550;1308266.2870;1308877.3320;1309440.0090;1309955.9560;1310429.1580;1310857.1980;1311227.4990;1311522.7770;1311731.4780;1311852.0510;1311891.2710;1311856.6710;1311759.4190;1311609.9870;1311413.5850;1311175.8900;1310909.2090;1310627.8420;1310344.5530;1310067.2000;1309802.6360;1309561.2070;1309353.5860;1309188.8130;1309073.6450;1309012.5870;1309009.1430;1309065.4960;1309183.5660;1309365.6000;1309613.8150;1309929.4910;1310313.4230;1310765.5780;1311285.9630;1311872.9460;1312522.4870;1313229.1950;1313988.2210;1314796.5160;1315651.7220;1316550.2650;1317488.4510;1318462.5380;1319469.1500;1320504.5840;1321564.3110;1322643.5280;1323737.7860;1324843.2600;1325956.6580;1327075.0170;1328195.4950;1329315.1600;1330430.9180;1331539.4880;1332637.3420;1333720.7900;1334785.9110
902;1721042.4340;1760098.6400;1797524.1550;1834562.7650;1872157.6580;1910951.3590;1951271.0760;1993143.3990;2036338.3570;2080443.2020;2125082.9260;2170155.9050;2216039.8220;2263680.0230;2314339.2850;2368862.0810;2427594.0200;2490099.8630;2555464.7090;2622359.7190;2689765.0720;2757470.4540;2825603.2930;2893895.6710;2962119.2460;3030154.7720;3097787.8260;3165112.1380;3232720.7740;3301448.8970;3371913.1260;3444194.9810;3518137.4520;3593809.7730;3671232.9450;3750339.4180;3831207.3400;3913620.9940;3996839.9490;4079885.3400;4162021.1240;4242936.2280;4322698.7640;4401424.5260;4479387.6860;4556787.8480;4633635.2480;4709820.1210;4785300.7830;4860018.5390;4933961.3110;5007117.9930;5079596.4270;5151651.8680;5223618.9390;5295751.6880;5368115.3670;5440686.3010;5513511.5150;5586615.4070;5659989.1530;5733656.5630;5807550.7170;5881448.8990;5955052.9280;6028123.9030;6100562.8390;6172345.1240;6243396.9820;6313661.6200;6383088.9130;6451615.7170;6519194.9330;6585818.9780;6651498.6990;6716239.0800;6780017.4520;6842808.2900;6904613.0310;6965439.5330;7025290.3270;7084155.5500;7142018.7300;7198867.6630;7254688.5070;7309466.5910;7363190.1240;7415844.0610;7467406.1080;7517850.9150;7567155.8670;7615311.5580;7662306.6350;7708115.3750;7752708.5470;7796065.9230;7838178.5100;7879051.5190;7918698.2050;7957140.0450;7994396.5080;8030478.5200;8065394.2010;8099158.5680;8131788.1080;8163300.8220;8193714.0510;8223048.2650;8251329.2680;8278585.6080;8304844.7800;8330127.5180;8354455.5600;8377858.6120;8400368.4990;8422013.5540;8442817.8120;8462798.9890;8481970.7730;8500343.4140;8517929.1530;8534749.5620;8550825.8530;8566169.7030;8580790.7220;8594703.0630;8607926.4810;8620488.6280;8632422.1330;8643764.2090;8654550.0950;8664802.5470;8674546.8810;8683823.9600;8692678.9680;8701149.4650;8709261.2130;8717028.6040;8724462.6820;8731568.6770;8738352.5520;8744823.1520;8750991.4710;8756868.8210;8762464.7370;8767785.1020;8772831.4250;8777600.5330;8782084.3440;8786270.0870;8790140.2850
941;196088.4440;200293.1130;204456.9060;208680.1940;213040.8010;217593.9900;222371.4980;227382.5220;232616.4970;238047.9100;243650.4430;249412.1680;255348.7900;261509.3310;267960.0230;274736.9780;281890.6360;289379.3400;297037.2100;304637.2410;312029.7930;319143.1580;326062.6190;332988.8770;340208.3830;347930.1940;356230.2770;365056.2050;374333.1990;383933.8270;393768.3490;403832.6020;414175.0720;424820.4540;435806.7020;447166.5590;458878.2240;470942.5060;483439.5590;496474.3300;510106.8520;524385.3900;539247.2180;554504.8570;569900.6230;585250.6880;600474.3780;615625.3170;630818.3900;646232.9910;661996.4770;678158.4410;694669.1580;711440.9130;728342.7870;745291.1480;762246.4570;779271.0630;796505.6950;814145.9920;832329.5770;851103.1600;870415.7750;890186.4170;910289.6470;930628.5310;951180.0350;971956.4090;992936.4620;1014103.5050;1035443.0390;1056935.6850;1078568.4560;1100342.7820;1122266.6140;1144343.9880;1166569.8580;1188933.2910;1211425.9730;1234038.2930;1256762.0910;1279590.1300;1302518.5580;1325546.6420;1348675.5200;1371904.1440;1395226.8060;1418635.0920;1442121.6280;1465678.1170;1489295.6750;1512966.7510;1536681.9700;1560428.1380;1584190.3150;1607954.8770;1631710.7240;1655448.8590;1679160.1820;1702836.3400;1726468.3870;1750047.4330;1773562.7660;1797001.4960;1820349.6950;1843595.0880;1866727.6270;1889740.1070;1912626.7950;1935383.4540;1958005.1130;1980484.8830;2002814.7170;2024987.2650;2046995.0010;2068830.8050;2090488.1420;2111961.0000;2133243.4310;2154329.7500;2175214.3390;2195892.1660;2216357.7770;2236604.7120;2256626.3000;2276416.7470;2295971.7520;2315288.2300;2334363.3270;2353194.8820;2371780.9530;2390118.9710;2408207.0680;2426045.1230;2443633.7860;2460973.3400;2478062.6150;2494900.2020;2511485.9380;2527819.8770;2543901.6920;2559730.4510;2575304.7130;2590622.6900;2605682.4270;2620482.0070;2635019.5800;2649293.4480;2663302.0060;2677043.8050;2690517.5200
934;1524953.9900;1559805.5270;1593067.2490;1625882.5710;1659116.8570;1693357.3690;1728899.5780;1765760.8770;1803721.8600;1842395.2920;1881432.4830;1920743.7370;1960691.0320;2002170.6920;2046379.2620;2094125.1030;2145703.3840;2200720.5230;2258427.4990;2317722.4780;2377735.2790;2438327.2960;2499540.6740;2560906.7940;2621910.8630;2682224.5780;2741557.5490;2800055.9330;2858387.5750;2917515.0700;2978144.7770;3040362.3790;3103962.3800;3168989.3190;3235426.2430;3303172.8590;3372329.1160;3442678.4880;3513400.3900;3583411.0100;3651914.2720;3718550.8380;3783451.5460;3846919.6690;3909487.0630;3971537.1600;4033160.8700;4094194.8040;4154482.3930;4213785.5480;4271964.8340;4328959.5520;4384927.2690;4440210.9550;4495276.1520;4550460.5400;4605868.9100;4661415.2380;4717005.8200;4772469.4150;4827659.5760;4882553.4030;4937134.9420;4991262.4820;5044763.2810;5097495.3720;5149382.8040;5200388.7150;5250460.5200;5299558.1150;5347645.8740;5394680.0320;5440626.4770;5485476.1960;5529232.0850;5571895.0920;5613447.5940;5653874.9990;5693187.0580;5731401.2400;5768528.2360;5804565.4200;5839500.1720;5873321.0210;5906012.9870;5937562.4470;5967963.3180;5997208.9690;6025284.4800;6052172.7980;6077860.1920;6102344.8070;6125624.6650;6147687.2370;6168518.2320;6188111.0460;6206467.7860;6223602.6600;6239538.0230;6254303.7050;6267928.1210;6280431.0870;6291831.4350;6302157.0720;6311438.4130;6319705.7340;6326986.4240;6333308.1580;6338702.4730;6343202.1540;6346839.6670;6349642.6350;6351640.8430;6352871.3470;6353373.4980;6353182.7490;6352329.6700;6350837.9890;6348727.3420;6346013.6640;6342714.8140;6338857.3960;6334468.0760;6329564.9910;6324164.4220;6318286.3160;6311954.7290;6305200.3980;6298058.8060;6290569.3270;6282769.1420;6274683.5760;6266339.8130;6257778.8370;6249045.1820;6240176.1250;6231198.5980;6222128.4020;6212976.7440;6203748.8000;6194450.8600;6185092.7010;6175686.7580;6166246.1310;6156782.3100;6147303.0950;6137811.8450;6128307.0850;6118782.3380;6109226.2820;6099622.7650
948;1160538.6580;1183888.7160;1208653.5160;1234796.9150;1262281.3450;1291067.7520;1321115.4190;1352382.1900;1384825.0530;1418401.4710;1453072.5710;1488806.9620;1525583.7920;1563394.1950;1602237.3450;1642109.2100;1683023.2700;1724967.0320;1767883.5320;1811698.7790;1856373.6930;1901880.0580;1948273.5320;1995703.3380;2044372.1460;2094429.5940;2145898.9910;2198746.0760;2252986.5010;2308622.3260;2365632.5630;2423995.7070;2483644.1870;2544443.8180;2606222.5860;2668823.5220;2732165.8950;2796167.1180;2860663.7360;2925472.2630;2990439.5720;3055488.0230;3120564.3130;3185577.7230;3250442.5820;3315102.2560;3379507.7890;3443669.6100;3507672.5910;3571645.5450;3635693.3760;3699846.5160;3764111.6550;3828544.2410;3893203.3640;3958138.5750;4023351.0740;4088854.9850;4154721.5060;4221035.7870;4287840.9200;4355150.8090;4422894.7830;4490920.9450;4559023.6100;4627033.7230;4694881.1330;4762536.0790;4829917.8310;4896948.7670;4963562.5850;5029700.8320;5095323.8510;5160411.9390;5224959.4280;5288958.4750;5352381.2620;5415202.3320;5477421.8580;5539048.0770;5600083.4380;5660513.9010;5720319.9420;5779491.8130;5838019.8070;5895890.8760;5953089.5700;6009594.3990;6065377.9540;6120408.7290;6174656.7650;6228103.3180;6280727.0450;6332492.4630;6383359.8870;6433296.6410;6482282.1650;6530305.1010;6577354.4980;6623423.7290;6668507.1610;6712596.4210;6755685.1590;6797773.8050;6838865.9480;6878965.3460;6918072.9850;6956190.4960;6993324.0700;7029481.5980;7064671.0250;7098899.7650;7132174.5940;7164502.6420;7195891.1690;7226348.9110;7255886.0060;7284514.7010;7312248.8270;7339103.7300;7365094.7920;7390236.4660;7414543.3540;7438031.6850;7460718.4560;7482620.8580;7503754.9670;7524138.0950;7543790.4690;7562733.5810;7580987.7720;7598569.7400;7615495.7060;7631784.8440;7647456.6770;7662529.0990;7677018.6360;7690938.7540;7704300.3230;7717112.2340;7729384.3320;7741128.3450;7752357.5840;7763086.1100;7773327.8080;7783095.5910;7792401.0300;7801254.2720;7809663.8760;7817636.9800;7825179.2570
947;186102.6100;189776.6900;193634.3160;197666.2060;201866.9760;206235.1290;210773.2350;215487.7670;220388.4970;225487.6310;230796.9770;236325.0300;242074.3470;248040.4430;254214.9430;260594.8480;267183.1450;273993.0670;281044.6290;288363.4510;295970.8460;303874.5830;312079.7760;320601.4990;329455.8270;338654.1760;348205.0980;358107.7920;368351.9040;378920.9150;389802.2380;400992.6230;412494.3620;424306.6280;436429.7370;448863.2420;461600.4080;474636.9540;487977.3950;501628.8510;515593.0430;529880.7020;544481.2690;559350.3010;574428.3230;589677.1240;605082.2230;620669.4220;636491.4870;652623.1830;669122.8280;686014.2810;703296.8030;720975.2040;739046.7720;757513.4460;776378.9840;795660.9180;815389.8360;835603.4630;856327.1570;877567.4810;899312.3750;921543.6980;944233.7810;967356.5550;990907.4220;1014874.3920;1039214.2180;1063873.4660;1088812.0910;1114008.2820;1139463.4250;1165190.0550;1191212.5160;1217548.0310;1244194.3280;1271140.7550;1298386.7670;1325931.3230;1353772.3300;1381905.5480;1410326.1780;1439030.1400;1468012.8990;1497268.2250;1526788.1300;1556562.1930;1586577.9880;1616821.3440;1647277.7350;1677935.1730;1708779.9550;1739793.3380;1770954.5240;1802244.2620;1833647.1670;1865149.6080;1896736.2330;1928391.9520;1960102.1040;1991852.9690;2023630.9160;2055421.7040;2087211.2270;2118986.2880;2150733.3950;2182441.4390;2214102.6910;2245711.1480;2277259.3330;2308736.4970;2340129.8510;2371427.2620;2402615.9630;2433683.2830;2464617.3300;2495406.0830;2526036.2870;2556494.2740;2586766.6530;2616841.6020;2646706.9260;2676348.4170;2705751.3520;2734902.1230;2763789.6350;2792403.8660;2820733.9430;2848769.4290;2876500.7550;2903918.7650;2931015.8750;2957786.4470;2984226.0730;3010330.0980;3036092.2110;3061506.0100;3086566.9270;3111270.8770;3135613.5180;3159590.0050;3183195.0700;3206423.2470;3229269.0780;3251727.3880;3273793.3250;3295462.4340;3316730.6250;3337594.2220;3358049.9190
903;229895.0140;234594.1010;239500.8410;244621.1460;249959.8980;255520.9750;261307.1170;267320.0630;273560.7450;280029.7590;286728.5770;293660.9420;300833.9850;308258.7660;315948.8210;323916.0110;332172.2560;340724.0030;349571.5230;358712.0650;368148.0010;377880.9180;387927.0410;398321.0450;409107.0820;420317.8600;431962.8110;444037.0130;456539.6410;469464.5660;482803.2490;496553.8210;510706.6580;525234.1060;540100.5900;555275.9250;570744.5600;586496.8530;602515.5920;618783.9850;635286.9690;652027.2080;668997.3630;686163.1110;703481.8110;720930.7060;738496.5320;756210.1940;774149.1470;792418.9960;811100.9560;830228.2530;849797.7570;869810.0690;890252.9480;911119.8750;932414.6550;954153.8550;976356.4830;999045.4810;1022234.4000;1045922.6240;1070096.1660;1094736.6600;1119818.5310;1145315.8720;1171222.1140;1197519.0550;1224154.4870;1251063.9300;1278198.8820;1305533.4820;1333068.9430;1360818.2680;1388808.0140;1417057.1800;1445562.8930;1474313.7050;1503310.7210;1532555.1980;1562046.9890;1591782.2790;1621756.6820;1651968.0690;1682414.1820;1713090.3870;1743989.1630;1775099.6220;1806408.7100;1837901.1530;1869561.2390;1901376.6300;1933332.7040;1965408.1760;1997579.0700;2029823.5580;2062125.1150;2094469.6250;2126840.6630;2159222.2020;2191598.9050;2223956.6130;2256281.5740;2288559.7150;2320777.3590;2352921.8620;2384980.3140;2416942.3010;2448801.0500;2480551.6810;2512188.0030;2543700.6160;2575078.3140;2606310.9010;2637387.7820;2668298.5020;2699033.1280;2729581.7670;2759933.8210;2790078.5040;2820005.1870;2849704.1580;2879165.4620;2908377.9200;2937330.0540;2966011.0870;2994411.9040;3022524.0270;3050338.3640;3077846.0820;3105038.9640;3131909.1620;3158449.9270;3184655.7860;3210522.1110;3236044.1170;3261216.1000;3286032.1750;3310487.3700;3334576.9520;3358296.2340;3381640.5440;3404605.2200;3427185.6950;3449377.4920;3471176.3510;3492578.1920;3513579.1610;3534175.5850;3554364.0450;3574141.3070
910;64757.2140;66195.8100;67685.7810;69228.3910;70826.2600;72483.3710;74205.1740;75998.4810;77871.1510;79831.5970;81887.2590;84042.9880;86299.6110;88653.3370;91097.4660;93627.4900;96244.4750;98951.9520;101750.8010;104642.2600;107628.2110;110708.8590;113887.1160;117170.9600;120570.5510;124093.4530;127747.1190;131531.6800;135438.7630;139455.5080;143574.8890;147782.1520;152084.8970;156524.0450;161155.5400;166013.0180;171128.8670;176475.2000;181953.0430;187425.4930;192800.9760;198031.0930;203162.5930;208314.9900;213659.7470;219317.5480;225336.0920;231670.1830;238235.1980;244903.2250;251583.7500;258258.9790;264967.6420;271744.4820;278644.4510;285712.5580;292951.0570;300360.2830;307981.5440;315864.9040;324044.3210;332536.4040;341328.2250;350385.9360;359658.7800;369106.2910;378719.3980;388498.6840;398424.4670;408475.8310;418637.3640;428897.1670;439254.2680;449718.6970;460307.6630;471033.8690;481898.5660;492897.2010;504030.1330;515296.8900;526697.0600;538229.8500;549895.3970;561694.9540;573630.1710;585701.2250;597906.2390;610241.2030;622701.1650;635279.9340;647971.2320;660770.4610;673672.2510;686668.3310;699749.3150;712906.5850;726134.0980;739426.2150;752775.2680;766173.3040;779613.2820;793089.2260;806596.6350;820131.9130;833692.3630;847275.0600;860875.4370;874489.1940;888114.0950;901748.5140;915390.1010;929035.1020;942678.7480;956316.3460;969942.7890;983552.9510;997142.2010;1010705.7110;1024237.7940;1037732.4400;1051183.8150;1064587.2110;1077937.6550;1091228.7680;1104453.7910;1117606.7220;1130682.9090;1143678.7080;1156590.5520;1169415.3820;1182150.2850;1194791.7050;1207336.6720;1219783.7070;1232131.9570;1244380.1570;1256525.8360;1268566.0610;1280498.5440;1292320.9540;1304030.8090;1315625.4260;1327101.9410;1338457.3350;1349688.4870;1360792.2080;1371765.2470;1382604.3170;1393306.0680;1403867.1160;1414284.0270
108;2456.3000;2504.9930;2550.7370;2595.3830;2640.3390;2686.5680;2734.5740;2784.4170;2835.7680;2888.0070;2940.4980;2992.8930;3045.3920;3098.8520;3154.4740;3212.8640;3275.4650;3341.4760;3406.6500;3465.1900;3513.4990;3549.8640;3577.1870;3602.2040;3634.2840;3680.4010;3742.4520;3819.1150;3910.1240;4014.1900;4129.9970;4257.3030;4395.5600;4542.4670;4695.0650;4850.5970;5008.2010;5166.4030;5321.1080;5467.4130;5601.7200;5724.0300;5835.0710;5933.2930;6017.1270;6086.7510;6140.2580;6181.4930;6223.5150;6283.6620;6374.3470;6499.6530;6656.0710;6838.7640;7039.5340;7251.4240;7474.3630;7707.7810;7943.3850;8170.8530;8382.8490;8575.1720;8749.3870;8911.1830;9069.4560;9230.6420;9396.2030;9563.8280;9731.7170;9896.8420;10056.9960;10212.0060;10362.7670;10509.3820;10652.1430;10791.3410;10926.9740;11059.1460;11188.4250;11315.5440;11441.0970;11565.2820;11688.1930;11810.1750;11931.5850;12052.6650;12173.5220;12294.0790;12414.1210;12533.3100;12651.3200;12768.0300;12883.2640;12996.5670;13107.3940;13215.2810;13320.0100;13421.4320;13519.2530;13613.1820;13703.0010;13788.5600;13869.8290;13946.8910;14019.9100;14089.0330;14154.3050;14215.7620;14273.5400;14327.8090;14378.7280;14426.3910;14470.9100;14512.5040;14551.4240;14587.8730;14621.9720;14653.7790;14683.3420;14710.6820;14735.8210;14758.8280;14779.7530;14798.5560;14815.1700;14829.5540;14841.7100;14851.6940;14859.5900;14865.5040;14869.5210;14871.6920;14872.0200;14870.4870;14867.0490;14861.6880;14854.4330;14845.3400;14834.4460;14821.7960;14807.4430;14791.4440;14773.8660;14754.7820;14734.2690;14712.4160;14689.3150;14665.0660;14639.7760;14613.5570;14586.5300
